year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
2014,1,1.34,1.38,0.14,0.45,0.30,0.85,0.60,1.96,7.16,6.07,73.41,1.00,0.27,3.76,0.27,0.38,1.21,17.04,10.14,38.14,0.10,0.15,1.22
2013,1,2.09,2.16,0.47,0.96,0.46,0.97,0.53,1.15,2.15,2.59,73.92,1.00,0.26,3.83,0.26,0.48,1.23,12.87,6.79,26.05,0.07,0.13,0.28
2012,1,4.96,5.21,1.19,1.40,0.56,0.85,0.38,0.68,0.84,2.53,67.83,1.00,0.32,3.11,0.32,0.72,3.02,"1,527.55",577.70,"1,795.62",5.78,13.00,12.87
2011,1,-11.16,4.59,1.24,1.05,0.55,0.78,0.35,0.63,0.80,2.75,74.67,1.00,0.25,3.95,0.25,0.57,2.11,15.07,5.24,20.67,0.05,0.12,0.12
2018,1,2.57,2.57,21.75,0.81,0.35,0.01,0.01,0.03,0.05,0.09,13.89,1.00,0.86,1.16,0.86,1.32,6.35,6.89,0.07,0.08,0.00,0.00,0.00
2017,1,3.66,3.66,29.80,1.32,0.34,0.01,0.01,0.02,0.03,0.07,9.71,1.00,0.90,1.11,0.90,1.36,9.77,3.17,0.03,0.03,0.00,0.00,0.00
2016,1,3.09,3.09,33.37,1.81,0.35,0.01,0.01,0.02,0.03,0.03,11.72,1.00,0.88,1.13,0.88,1.36,7.80,0.28,0.00,0.00,0.00,0.00,0.00
2015,1,2.56,2.56,14.92,0.83,0.32,0.02,0.01,0.04,0.07,0.13,13.00,1.00,0.87,1.15,0.87,1.27,7.04,11.03,0.14,0.16,0.00,0.00,0.01
2014,1,3.00,3.00,14.85,1.24,0.30,0.02,0.01,0.04,0.07,0.11,10.69,1.00,0.89,1.12,0.89,1.28,8.90,5.75,0.08,0.09,0.00,0.00,0.00
2013,1,2.79,2.79,17.92,1.50,0.26,0.01,0.01,0.04,0.06,0.07,10.05,1.00,0.90,1.11,0.90,1.22,9.57,8.89,0.08,0.09,0.00,0.00,0.00
2012,1,0.02,0.02,-738.36,1.50,0.18,0.01,0.01,0.05,0.00,0.00,7.82,1.00,0.92,1.08,0.92,1.12,0.13,12.09,0.11,0.12,0.00,0.00,0.00
2011,1,6.59,6.60,1.14,4.93,0.73,2.06,0.55,0.75,0.88,1.00,90.47,1.00,0.10,10.50,0.10,0.36,0.86,25.07,13.74,144.22,0.14,0.52,0.22
2018,1,0.96,1.74,0.96,0.00,0.77,1.46,0.34,0.44,1.05,166.69,70.70,1.00,0.29,3.41,0.29,1.26,0.66,3.30,1.12,3.84,0.01,0.05,0.03
2017,1,1.09,1.89,1.19,0.05,0.75,1.21,0.30,0.40,0.84,15.26,70.94,1.00,0.29,3.44,0.29,1.18,0.73,1.45,0.43,1.49,0.00,0.02,0.01
2016,1,1.18,1.96,1.20,0.02,0.71,1.01,0.29,0.41,0.84,40.53,69.85,1.00,0.30,3.32,0.30,1.04,0.83,8.54,2.49,8.26,0.02,0.09,0.07
2015,1,1.03,1.65,1.16,0.01,0.81,1.42,0.27,0.34,0.86,103.69,93.97,1.00,0.06,16.59,0.06,0.31,0.12,8.90,2.43,40.38,0.02,0.13,0.08
2014,0,1.65,2.30,1.48,0.01,0.88,2.76,0.34,0.38,0.68,103.61,87.63,0.93,0.05,18.56,0.05,0.41,0.13,-31.09,-10.42,-208.75,-0.11,-0.86,-0.21
2013,1,2.41,2.42,0.95,0.00,0.87,4.32,0.54,0.62,1.06,"5,098.33",96.73,1.01,0.05,21.48,0.05,0.38,0.13,2.45,1.33,28.10,0.01,0.11,0.03
2012,1,1.48,2.44,0.90,0.07,0.87,4.26,0.57,0.66,1.11,22.64,96.38,1.01,0.04,23.06,0.04,0.33,0.12,4.63,2.63,60.14,0.03,0.20,0.05
2011,1,1.49,2.04,0.89,0.20,0.85,3.17,0.49,0.57,1.12,5.85,105.67,1.10,0.04,22.97,0.05,0.31,0.12,3.14,1.53,31.71,0.01,0.10,0.04
2018,1,0.54,1.75,8.51,0.08,0.95,0.88,0.05,0.05,0.12,1.15,66.25,1.00,0.34,2.96,0.34,6.28,0.62,41.04,1.95,5.77,0.02,0.36,0.05
2017,1,0.72,1.64,1.04,0.42,0.97,11.23,0.36,0.37,0.96,1.46,70.54,1.00,0.29,3.39,0.29,9.15,0.50,7.51,2.72,9.22,0.03,0.84,0.07
2016,1,0.31,1.37,5.02,0.20,0.96,1.44,0.05,0.05,0.20,0.36,81.69,1.00,0.18,5.46,0.18,5.12,0.26,79.79,4.10,22.41,0.04,1.15,0.16
2015,1,0.19,1.33,2.15,0.04,1.00,42.76,0.12,0.12,0.47,4.29,87.10,1.00,0.13,7.75,0.13,47.80,0.17,18.97,2.19,16.97,0.02,8.11,0.09
2014,1,0.20,1.24,3.31,0.02,1.00,22.09,0.06,0.06,0.30,3.90,92.01,1.00,0.08,12.51,0.08,30.25,0.10,41.15,2.40,30.04,0.02,9.09,0.12
2013,1,0.34,1.60,3.62,0.04,1.00,35.04,0.10,0.10,0.28,4.39,74.81,1.00,0.25,3.97,0.25,85.73,0.40,27.14,2.80,11.09,0.03,9.51,0.08
2012,1,0.30,1.60,3.48,0.04,1.00,41.29,0.11,0.11,0.29,4.82,74.08,1.00,0.26,3.86,0.26,99.84,0.42,22.70,2.43,9.39,0.02,9.37,0.07
2011,1,0.44,2.19,7.23,0.04,1.00,23.14,0.07,0.08,0.14,4.62,55.32,1.00,0.45,2.24,0.45,137.98,0.98,16.59,1.24,2.78,0.01,3.84,0.02
2018,0,0.39,0.44,-5.51,0.00,0.18,0.05,0.04,0.24,-0.18,32.70,-2.01,1.00,1.02,0.98,1.02,1.24,2.49,-161.34,-6.79,-6.65,-0.07,-0.08,0.29
2017,0,0.44,0.50,-4.66,0.03,0.19,0.05,0.04,0.22,-0.21,3.29,1.07,1.00,0.99,1.01,0.99,1.21,2.65,-192.21,-7.73,-7.81,-0.08,-0.09,0.41
2016,0,0.51,0.55,-5.94,0.15,0.20,0.03,0.03,0.14,-0.17,0.50,13.83,1.00,0.86,1.16,0.86,1.08,2.34,-346.39,-9.61,-11.15,-0.10,-0.12,0.58
2015,0,0.32,0.34,-8.60,0.11,0.26,0.08,0.06,0.23,-0.12,0.72,68.16,1.00,0.32,3.14,0.32,0.43,0.42,-186.33,-10.91,-34.28,-0.11,-0.15,0.22
2014,0,0.62,0.66,-0.81,0.09,0.55,0.78,0.35,0.64,-1.24,4.63,84.09,1.00,0.16,6.37,0.16,0.35,0.19,-15.43,-5.44,-34.73,-0.05,-0.12,0.19
2013,0,0.65,0.78,-0.66,0.15,0.70,1.04,0.31,0.44,-1.51,2.32,99.48,1.00,0.01,193.30,0.01,0.02,0.01,-19.18,-5.91,"-1,142.33",-0.06,-0.20,0.29
2012,0,0.63,0.79,-0.30,0.02,0.63,1.52,0.56,0.89,-3.29,37.66,98.95,1.00,0.01,95.06,0.01,0.03,0.01,-18.73,-10.55,"-1,003.01",-0.11,-0.29,0.62
2011,0,0.60,0.86,-0.16,0.09,0.65,1.86,0.64,0.98,-6.28,9.64,99.52,1.00,0.00,209.03,0.00,0.01,0.01,-9.89,-6.36,"-1,328.52",-0.06,-0.18,0.62
2018,1,2.75,3.24,1.31,0.32,0.71,1.27,0.37,0.53,0.76,5.42,96.21,1.00,0.04,26.40,0.04,0.13,0.17,10.16,3.79,100.08,0.04,0.13,0.08
2017,1,2.99,3.65,1.77,0.34,0.65,0.75,0.27,0.41,0.56,4.45,97.39,1.00,0.03,38.38,0.03,0.07,0.15,1.32,0.35,13.48,0.00,0.01,0.01
2016,1,2.90,3.31,2.15,0.59,0.67,0.62,0.22,0.32,0.46,1.83,97.70,1.00,0.02,43.39,0.02,0.07,0.11,1.47,0.32,13.78,0.00,0.01,0.01
2015,1,2.85,3.42,2.08,0.77,0.64,0.60,0.22,0.34,0.48,1.52,98.77,1.00,0.01,81.47,0.01,0.03,0.07,4.06,0.88,71.76,0.01,0.02,0.02
2014,1,3.65,4.15,2.52,0.54,0.71,0.73,0.21,0.30,0.40,2.30,98.88,1.00,0.01,89.02,0.01,0.04,0.07,8.85,1.89,167.98,0.02,0.06,0.04
2013,1,3.38,4.04,1.66,0.37,0.76,1.41,0.34,0.45,0.60,4.90,99.03,1.00,0.01,103.08,0.01,0.04,0.05,37.53,12.90,"1,330.04",0.13,0.53,0.23
2012,1,3.68,3.86,1.93,1.51,0.73,1.05,0.28,0.38,0.52,0.98,98.50,1.00,0.01,66.85,0.01,0.06,0.08,12.77,3.58,239.41,0.04,0.13,0.07
2011,1,4.07,4.42,1.55,1.30,0.72,1.28,0.36,0.50,0.65,1.70,96.02,1.00,0.04,25.15,0.04,0.14,0.24,36.96,13.30,334.43,0.13,0.47,0.24
2018,0,4.42,6.91,0.66,0.58,0.97,47.54,1.26,1.29,1.51,15.37,14.10,1.00,0.86,1.16,0.86,32.48,6.09,-2.81,-3.53,-4.11,-0.04,-1.33,-0.04
2017,1,3.65,5.56,0.57,0.72,0.97,50.28,1.40,1.45,1.76,11.16,17.47,1.00,0.83,1.21,0.83,29.54,4.72,0.51,0.71,0.87,0.01,0.26,0.01
2016,1,7.96,10.62,0.52,1.75,0.97,54.28,1.68,1.74,1.92,10.54,9.13,1.00,0.91,1.10,0.91,29.29,9.96,1.11,1.87,2.06,0.02,0.60,0.02
2015,1,6.74,9.77,0.44,1.70,0.97,63.32,1.99,2.05,2.29,11.79,9.91,1.00,0.90,1.11,0.90,28.68,9.09,3.10,6.16,6.84,0.06,1.96,0.07
2014,1,6.25,9.07,0.45,1.58,0.97,60.37,1.90,1.96,2.20,11.24,10.68,0.95,0.89,1.13,0.84,26.72,7.86,2.85,5.41,6.44,0.06,1.72,0.06
2013,1,4.55,6.59,0.55,0.99,0.97,45.18,1.50,1.55,1.83,10.33,14.67,0.98,0.85,1.18,0.83,25.00,5.66,2.88,4.31,5.20,0.04,1.30,0.05
2012,1,6.85,10.29,0.53,1.14,0.97,48.75,1.66,1.72,1.90,15.48,9.39,0.90,0.90,1.12,0.81,23.70,8.58,2.93,4.86,6.03,0.05,1.43,0.06
2011,1,2.63,3.62,0.44,0.78,0.96,41.65,1.57,1.64,2.26,7.62,26.60,1.11,0.76,1.32,0.84,22.27,3.16,5.52,8.68,10.32,0.08,2.30,0.12
2018,0,1.21,1.25,0.20,0.31,0.70,2.26,0.68,0.97,4.91,3.86,86.50,0.88,0.01,77.40,0.01,0.04,0.02,-10.59,-7.20,-636.00,-0.08,-0.24,-0.52
2017,0,1.07,1.07,0.06,0.16,0.70,2.56,0.78,1.12,17.31,7.71,65.09,1.00,0.35,2.86,0.35,1.15,0.54,-10.59,-8.25,-23.65,-0.08,-0.27,-1.83
2016,0,1.25,1.25,0.16,0.20,0.77,4.06,0.95,1.24,6.13,7.73,98.30,1.00,0.02,58.96,0.02,0.07,0.03,-1.51,-1.43,-84.25,-0.01,-0.06,-0.09
2015,1,1.80,1.80,0.42,0.18,0.86,6.41,0.91,1.07,2.40,10.78,94.04,1.00,0.06,16.79,0.06,0.42,0.13,17.83,16.31,273.88,0.16,1.14,0.43
2014,1,1.61,1.61,0.43,0.36,0.79,3.38,0.70,0.88,2.32,3.88,83.08,1.00,0.17,5.91,0.17,0.82,0.34,4.96,3.46,20.42,0.03,0.17,0.12
2013,1,1.67,1.67,0.46,0.04,0.78,3.05,0.68,0.87,2.19,38.60,75.61,1.00,0.24,4.10,0.24,1.09,0.52,8.74,5.94,24.35,0.06,0.27,0.19
2012,1,1.58,1.58,0.40,0.11,0.79,3.45,0.73,0.93,2.53,13.71,78.92,1.00,0.21,4.74,0.21,1.00,0.42,9.47,6.91,32.79,0.07,0.33,0.24
2011,1,1.52,1.52,0.24,0.13,0.75,4.35,1.07,1.41,4.15,16.29,78.28,1.00,0.22,4.61,0.22,0.89,0.44,1.00,1.07,4.91,0.01,0.04,0.04
2018,0,0.88,1.08,0.13,0.05,0.88,4.25,0.51,0.58,7.49,12.83,24.60,1.00,0.75,1.33,0.75,6.29,0.93,-72.71,-37.03,-49.11,-0.37,-3.09,-5.45
2017,0,1.15,1.32,0.38,0.03,0.90,5.52,0.57,0.64,2.62,33.25,55.71,1.00,0.44,2.26,0.44,4.28,0.65,-8.57,-4.90,-11.06,-0.05,-0.47,-0.22
2016,1,1.21,1.32,0.42,0.03,0.88,4.18,0.50,0.57,2.36,26.28,60.70,1.00,0.39,2.54,0.39,3.29,0.59,41.21,20.55,52.29,0.21,1.72,0.97
2015,0,1.18,1.29,0.22,0.03,0.81,4.21,0.82,1.02,4.58,47.59,29.15,1.00,0.71,1.41,0.71,3.63,1.13,-7.18,-5.90,-8.32,-0.06,-0.30,-0.33
2014,0,0.73,0.79,-0.35,0.11,0.79,2.92,0.61,0.78,-2.87,5.37,78.43,1.00,0.22,4.64,0.22,1.03,0.21,-126.53,-77.75,-360.52,-0.78,-3.70,3.63
2013,0,2.48,2.57,3.38,0.20,0.86,1.13,0.16,0.18,0.30,2.28,62.66,1.00,0.37,2.68,0.37,2.72,1.11,-51.73,-8.07,-21.61,-0.08,-0.59,-0.15
2012,0,1.59,1.67,1.09,0.05,0.82,1.72,0.30,0.37,0.92,11.95,63.71,1.00,0.36,2.76,0.36,2.05,0.74,-76.06,-23.05,-63.52,-0.23,-1.31,-0.70
2011,0,1.16,1.26,0.21,0.01,0.78,3.59,0.77,0.99,4.83,110.79,63.04,1.00,0.37,2.71,0.37,1.71,0.59,-13.66,-10.57,-28.59,-0.11,-0.49,-0.66
2018,0,0.38,0.43,-21.62,0.00,0.63,0.10,0.04,0.06,-0.05,17.62,99.74,1.00,0.00,387.35,0.00,0.01,0.00,-744.43,-28.21,"-10,926.05",-0.28,-0.75,0.34
2017,0,0.42,0.50,-24.70,0.00,0.55,0.05,0.02,0.04,-0.04,10.70,97.07,1.00,0.03,34.17,0.03,0.06,0.03,-81.16,-1.81,-61.85,-0.02,-0.04,0.03
2016,0,0.44,0.53,-10.28,0.00,0.52,0.10,0.05,0.09,-0.10,11.25,88.96,1.00,0.11,9.06,0.11,0.23,0.11,-291.13,-13.27,-120.20,-0.13,-0.28,0.28
2015,0,0.73,0.82,-1.12,0.00,0.86,1.24,0.17,0.20,-0.90,178.32,98.87,1.00,0.01,88.15,0.01,0.08,0.01,-94.13,-16.15,"-1,423.83",-0.16,-1.17,0.84
2014,1,0.81,0.96,-0.19,0.01,0.87,1.56,0.21,0.24,-5.27,23.58,98.89,1.00,0.01,90.28,0.01,0.08,0.01,0.21,0.04,4.00,0.00,0.00,-0.01
2013,1,0.85,0.99,-0.02,0.03,0.88,3.27,0.41,0.47,-65.04,15.12,98.59,1.00,0.01,70.87,0.01,0.11,0.02,1.33,0.54,38.36,0.01,0.04,-0.86
2012,1,0.89,1.06,0.16,0.01,0.93,4.13,0.30,0.33,6.20,38.25,98.60,1.00,0.01,71.50,0.01,0.19,0.02,0.73,0.22,15.70,0.00,0.03,0.05
2011,1,1.06,1.07,0.12,0.14,0.92,6.54,0.51,0.55,8.63,4.27,98.22,1.00,0.02,56.19,0.02,0.23,0.02,0.78,0.39,22.04,0.00,0.05,0.07
2018,0,0.38,0.41,-0.25,0.00,0.31,2.62,1.80,5.72,-4.00,"1,058.54",76.33,1.00,0.24,4.22,0.24,0.35,0.31,-8.65,-15.53,-65.61,-0.16,-0.23,0.35
2017,0,0.45,0.52,-0.31,0.00,0.32,1.41,0.96,3.02,-3.22,605.06,61.63,1.00,0.38,2.61,0.38,0.56,0.62,-7.23,-6.95,-18.12,-0.07,-0.10,0.23
2016,0,0.34,0.44,-0.21,0.02,0.53,6.57,3.10,5.88,-4.67,127.58,119.20,1.00,-0.19,-5.21,-0.19,-0.41,-0.16,-2.74,-8.51,44.30,-0.09,-0.18,0.13
2015,0,0.14,0.30,-1.53,0.00,0.34,0.79,0.52,1.51,-0.65,#DIV/0!,113.86,1.00,-0.14,-7.22,-0.14,-0.21,-0.12,-69.76,-36.27,261.74,-0.36,-0.55,0.46
2014,1,0.18,0.32,-0.19,0.00,0.27,4.17,3.04,11.19,-5.39,"1,302.10",83.60,1.00,0.16,6.10,0.16,0.23,0.20,1.66,5.05,30.79,0.05,0.07,-0.09
2013,0,0.38,0.56,-0.15,0.00,0.51,5.35,2.62,5.16,-6.62,"12,711.20",90.54,1.00,0.09,10.57,0.09,0.19,0.10,-0.01,-0.03,-0.31,0.00,0.00,0.00
2012,0,0.30,0.47,-0.41,0.00,0.44,2.19,1.22,2.76,-2.42,"2,137.34",94.77,1.05,0.09,10.57,0.10,0.18,0.10,-1.03,-1.26,-12.72,-0.01,-0.02,0.02
2011,0,0.17,0.30,-1.08,0.00,0.33,1.03,0.69,2.10,-0.92,418.25,103.98,1.08,0.03,29.52,0.04,0.05,0.03,-34.43,-23.81,-653.01,-0.22,-0.35,0.32
2018,1,1.63,3.12,0.57,0.61,0.75,3.67,0.89,1.20,1.76,6.16,23.91,1.00,0.76,1.31,0.76,3.13,3.18,16.40,14.62,19.22,0.15,0.60,0.29
2017,1,0.90,2.54,0.54,0.07,0.72,2.93,0.81,1.12,1.85,41.26,28.55,1.00,0.71,1.40,0.71,2.59,2.50,22.13,17.93,25.09,0.18,0.65,0.41
2016,1,1.18,2.22,0.41,0.08,0.58,1.85,0.78,1.34,2.44,35.27,26.10,1.00,0.74,1.35,0.74,1.76,2.83,15.33,11.91,16.12,0.12,0.28,0.37
2015,1,0.82,1.76,0.40,0.05,0.51,1.13,0.55,1.08,2.51,39.49,29.03,1.00,0.71,1.41,0.71,1.45,2.44,7.14,3.95,5.56,0.04,0.08,0.18
2014,1,0.74,1.54,28.62,0.05,0.49,0.01,0.01,0.01,0.03,0.37,31.69,1.00,0.68,1.46,0.68,1.33,2.16,"4,252.68",25.40,37.19,0.25,0.50,1.49
2013,1,0.56,1.47,0.30,0.05,0.40,0.72,0.43,1.08,3.36,33.02,27.32,1.00,0.73,1.38,0.73,1.21,2.66,12.01,5.19,7.14,0.05,0.09,0.40
2012,1,0.31,1.12,0.12,0.02,0.44,0.67,0.38,0.86,8.06,51.45,38.99,1.00,0.61,1.64,0.61,1.08,1.56,14.46,5.45,8.94,0.05,0.10,1.17
2011,1,0.27,0.93,-0.08,0.03,0.47,0.87,0.46,0.98,-12.22,36.15,99.99,1.00,0.00,"7,004.04",0.00,0.00,0.00,7.06,3.26,"22,807.54",0.03,0.06,-0.86
2018,1,0.64,1.50,0.58,0.11,0.36,0.32,0.21,0.58,1.73,7.61,95.43,1.00,0.05,21.89,0.05,0.07,0.19,4.78,0.99,21.57,0.01,0.02,0.08
2017,1,0.71,1.77,1.03,0.13,0.39,0.27,0.16,0.42,0.97,5.74,93.51,1.00,0.06,15.42,0.06,0.11,0.29,4.88,0.80,12.37,0.01,0.01,0.05
2016,1,0.81,1.76,1.10,0.20,0.40,0.26,0.16,0.39,0.91,3.47,90.92,1.00,0.09,11.01,0.09,0.15,0.40,4.58,0.71,7.85,0.01,0.01,0.04
2015,1,0.90,1.89,1.35,0.24,0.41,0.25,0.14,0.35,0.74,2.70,87.74,1.00,0.12,8.16,0.12,0.21,0.56,4.78,0.69,5.63,0.01,0.01,0.04
2014,0,1.54,2.66,2.17,1.34,0.41,0.25,0.12,0.29,0.46,0.57,81.93,0.95,0.13,7.44,0.13,0.26,0.82,-6.92,-0.82,-6.47,-0.01,-0.02,-0.03
2013,0,2.59,3.50,3.85,2.15,0.57,0.25,0.11,0.19,0.26,0.30,86.68,1.00,0.13,7.51,0.13,0.31,0.81,-13.37,-1.42,-10.65,-0.01,-0.03,-0.03
2012,0,2.77,3.47,4.51,2.27,0.58,0.21,0.09,0.16,0.22,0.24,86.96,1.00,0.13,7.67,0.13,0.31,0.78,-24.58,-2.23,-17.13,-0.02,-0.05,-0.05
2011,0,0.13,0.23,-8.74,0.03,0.36,0.21,0.13,0.37,-0.11,2.61,96.22,1.00,0.04,26.46,0.04,0.06,0.02,-29.91,-3.99,-105.63,-0.04,-0.06,0.03
2018,1,0.48,0.73,-0.15,0.19,0.32,1.13,0.76,2.36,-6.53,9.20,72.18,1.00,0.28,3.59,0.28,0.41,0.63,2.91,2.22,7.99,0.02,0.03,-0.19
2017,1,0.38,0.55,-0.24,0.09,0.34,1.72,1.14,3.34,-4.10,19.64,98.75,1.00,0.01,80.30,0.01,0.02,0.02,8.96,10.17,816.71,0.10,0.15,-0.37
2016,1,0.41,0.68,-0.15,0.04,0.34,1.67,1.10,3.24,-6.85,51.94,82.14,1.00,0.18,5.60,0.18,0.27,0.36,7.53,8.29,46.42,0.08,0.13,-0.52
2015,1,0.59,0.97,-0.01,0.06,0.34,1.28,0.84,2.48,-78.10,39.82,55.49,0.90,0.38,2.61,0.34,0.52,0.98,4.69,3.96,11.51,0.04,0.06,-3.66
2014,0,0.51,0.66,-0.20,0.18,0.27,0.96,0.70,2.59,-5.06,9.41,58.46,1.12,0.48,2.10,0.53,0.73,1.31,-14.16,-9.91,-18.57,-0.09,-0.14,0.72
2013,0,2.07,2.33,0.79,0.13,1.00,"1,063.43",0.72,0.72,1.27,12.60,46.29,1.04,0.55,1.81,0.57,843.37,1.34,-4.43,-3.21,-5.59,-0.03,-47.13,-0.06
2012,0,1.16,1.54,0.26,0.30,0.35,0.73,0.47,1.36,3.86,6.97,28.77,0.92,0.69,1.45,0.63,0.97,2.81,-19.23,-9.09,-14.35,-0.10,-0.14,-0.74
2011,0,0.41,0.53,-0.74,0.00,0.23,0.35,0.27,1.19,-1.34,303.23,57.95,1.00,0.42,2.38,0.42,0.54,0.99,-41.91,-11.27,-26.80,-0.11,-0.15,0.56
2018,1,1.04,1.89,0.72,0.03,0.71,1.56,0.46,0.65,1.38,48.05,68.71,1.00,0.31,3.20,0.31,1.06,0.84,0.63,0.29,0.92,0.00,0.01,0.01
2017,1,0.98,2.04,0.70,0.02,0.67,1.47,0.48,0.72,1.42,95.68,65.64,1.00,0.34,2.91,0.34,1.04,1.04,0.63,0.30,0.89,0.00,0.01,0.01
2016,1,1.02,1.86,0.76,0.10,0.70,1.44,0.43,0.61,1.32,11.82,67.06,1.00,0.33,3.04,0.33,1.10,0.87,2.44,1.05,3.18,0.01,0.04,0.03
2015,1,0.99,2.12,0.86,0.03,0.66,1.21,0.41,0.61,1.16,43.39,62.98,1.00,0.37,2.70,0.37,1.10,1.18,3.17,1.29,3.49,0.01,0.04,0.04
2014,1,1.45,2.99,1.10,0.19,0.28,0.24,0.17,0.60,0.91,9.39,24.15,0.42,0.43,2.34,0.18,0.25,1.91,4.63,0.79,4.38,0.02,0.01,0.04
2013,1,1.31,2.64,1.00,0.35,0.66,1.21,0.41,0.62,1.00,4.68,57.94,1.00,0.42,2.38,0.42,1.24,1.68,4.30,1.77,4.20,0.02,0.05,0.04
2012,1,1.45,2.29,1.29,0.41,0.70,1.04,0.31,0.44,0.78,2.42,60.82,1.00,0.39,2.55,0.39,1.32,1.28,1.86,0.57,1.46,0.01,0.02,0.01
2011,0,1.34,1.92,1.96,0.38,0.73,0.64,0.18,0.24,0.51,1.24,64.58,1.00,0.35,2.82,0.35,1.29,0.94,-6.21,-1.10,-3.10,-0.01,-0.04,-0.03
2018,1,1.28,1.46,0.39,0.17,0.69,1.79,0.56,0.81,2.59,7.05,91.71,1.00,0.08,12.06,0.08,0.27,0.18,5.85,3.27,39.42,0.03,0.10,0.15
2017,1,1.47,1.70,0.63,0.23,0.67,1.35,0.44,0.66,1.60,4.83,92.64,1.00,0.07,13.58,0.07,0.22,0.19,6.82,3.02,41.02,0.03,0.09,0.11
2016,1,1.32,1.59,0.39,0.20,0.63,1.61,0.60,0.95,2.54,7.66,90.03,1.00,0.10,10.03,0.10,0.27,0.25,11.47,6.83,68.46,0.07,0.18,0.29
2015,1,0.83,1.37,0.29,0.27,0.67,1.86,0.62,0.93,3.44,4.78,88.61,1.00,0.11,8.78,0.11,0.34,0.23,6.59,4.09,35.92,0.04,0.12,0.23
2014,1,0.90,1.35,0.32,0.18,0.70,1.85,0.56,0.79,3.09,5.84,91.90,1.00,0.08,12.35,0.08,0.27,0.16,7.48,4.16,51.37,0.04,0.14,0.23
2013,1,0.89,1.30,0.32,0.11,0.74,2.03,0.54,0.73,3.12,8.56,88.25,1.00,0.12,8.51,0.12,0.44,0.21,8.90,4.76,40.55,0.05,0.18,0.28
2012,1,1.34,1.62,0.46,0.39,0.70,1.96,0.58,0.83,2.17,3.50,93.74,1.00,0.06,15.96,0.06,0.21,0.14,11.25,6.57,104.93,0.07,0.22,0.24
2011,1,1.55,1.81,0.32,0.13,0.63,2.39,0.88,1.38,3.10,18.60,93.89,1.00,0.06,16.36,0.06,0.17,0.17,15.17,13.28,217.36,0.13,0.36,0.47
2018,1,5.00,5.00,0.35,3.52,0.14,0.39,0.33,2.29,2.86,3.25,52.11,1.00,0.48,2.09,0.48,0.56,16.53,40.88,13.56,28.32,0.14,0.16,1.17
2017,1,8.73,8.73,1.01,7.03,0.34,0.46,0.30,0.88,0.99,1.09,49.14,1.00,0.51,1.97,0.51,0.78,12.89,34.61,10.46,20.57,0.10,0.16,0.34
2016,1,1.64,1.64,0.49,1.48,0.35,0.43,0.28,0.80,2.05,0.90,53.80,1.00,0.46,2.16,0.46,0.71,2.19,40.90,11.44,24.75,0.11,0.18,0.84
2015,1,5.91,5.91,1.16,3.23,0.44,0.55,0.31,0.71,0.86,1.30,56.43,1.00,0.44,2.30,0.44,0.77,5.91,66.28,20.58,47.24,0.21,0.36,0.57
2014,1,2.88,2.88,1.09,2.44,0.32,0.28,0.19,0.60,0.92,0.71,43.77,1.00,0.56,1.78,0.56,0.83,5.06,20.40,3.90,6.93,0.04,0.06,0.19
2013,1,2.66,2.66,0.95,2.25,0.29,0.27,0.19,0.66,1.06,0.78,11.05,0.67,0.83,1.20,0.56,0.79,5.06,33.96,6.58,11.77,0.10,0.09,0.36
2012,1,3.41,3.41,0.88,2.68,0.23,0.24,0.19,0.80,1.13,1.02,97.27,1.04,0.06,15.62,0.07,0.09,0.97,2.29,0.43,6.43,0.00,0.01,0.03
2011,1,57.78,57.78,1.17,44.15,0.24,0.26,0.20,0.84,0.86,1.10,90.48,0.95,0.05,19.28,0.05,0.06,12.12,38.67,7.68,155.26,0.08,0.10,0.33
2018,1,4.48,4.48,0.59,3.19,0.26,0.46,0.34,1.31,1.69,1.84,52.06,1.00,0.48,2.09,0.48,0.65,8.32,50.76,17.20,35.89,0.17,0.23,0.86
2017,1,3.03,3.03,0.60,2.10,0.28,0.43,0.31,1.11,1.66,1.60,49.15,1.00,0.51,1.97,0.51,0.70,5.53,43.65,13.54,26.64,0.14,0.19,0.73
2016,1,9.67,9.67,0.62,6.05,0.23,0.44,0.34,1.45,1.62,2.32,34.07,0.91,0.63,1.59,0.57,0.75,23.81,15.11,5.10,8.89,0.06,0.07,0.24
2015,1,8.44,8.44,0.65,6.34,0.22,0.38,0.30,1.35,1.53,1.80,38.70,1.00,0.61,1.63,0.61,0.79,23.45,37.13,11.07,18.05,0.11,0.14,0.57
2014,1,10.36,10.36,0.70,7.16,0.20,0.32,0.26,1.29,1.43,1.87,34.48,1.00,0.66,1.53,0.66,0.82,34.16,33.59,8.63,13.17,0.09,0.11,0.48
2013,1,9.36,9.36,0.98,7.49,0.25,0.30,0.23,0.91,1.02,1.14,37.29,1.00,0.63,1.59,0.63,0.83,23.75,48.62,10.98,17.51,0.11,0.15,0.50
2012,1,7.60,7.60,0.92,5.23,0.22,0.27,0.21,0.95,1.09,1.38,32.80,1.00,0.67,1.49,0.67,0.86,23.00,31.50,6.63,9.87,0.07,0.09,0.34
