year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
2014,1,0.71,0.71,-0.12,0.27,0.52,2.30,1.72,3.32,-8.25,8.73,95.47,1.00,0.05,22.09,0.05,0.06,0.06,10.55,18.15,400.97,0.18,0.24,-0.87
2013,1,0.72,0.76,-0.10,0.06,0.62,3.49,1.90,3.05,-9.64,36.18,93.22,1.00,0.07,14.74,0.07,0.12,0.08,2.05,3.88,57.27,0.04,0.07,-0.20
2012,1,2.08,2.17,0.29,0.16,0.64,3.36,1.20,1.87,3.47,25.22,40.38,1.00,0.60,1.68,0.60,1.67,2.01,2.76,3.31,5.54,0.03,0.09,0.10
2011,1,1.36,1.42,0.20,0.10,0.64,2.70,0.97,1.50,5.11,20.32,54.22,0.79,0.31,3.19,0.25,0.69,0.55,1.91,1.84,7.45,0.02,0.05,0.10
2018,1,0.56,1.57,0.13,0.25,0.39,1.73,1.06,2.71,7.47,17.32,72.64,1.00,0.27,3.65,0.27,0.45,1.10,5.65,5.97,21.80,0.06,0.10,0.42
2017,1,0.55,1.01,0.00,0.34,0.38,1.58,0.98,2.59,288.85,7.63,82.95,1.00,0.17,5.86,0.17,0.27,0.45,7.82,7.66,44.92,0.08,0.12,22.58
2016,1,1.27,2.08,0.21,0.84,0.50,2.42,1.22,2.45,4.71,6.09,76.21,1.00,0.24,4.20,0.24,0.47,1.00,9.13,11.11,46.71,0.11,0.22,0.43
2015,1,1.20,2.04,0.22,0.80,0.51,2.44,1.19,2.31,4.54,5.87,74.68,1.00,0.25,3.95,0.25,0.52,1.01,3.80,4.51,17.83,0.05,0.09,0.17
2014,1,0.64,1.72,0.11,0.09,0.39,2.33,1.42,3.66,8.74,72.30,66.55,1.00,0.33,2.99,0.33,0.55,1.48,343.73,488.63,"1,460.60",4.89,7.99,30.04
2013,1,0.57,1.57,0.11,0.17,0.39,2.10,1.27,3.22,8.85,29.33,65.09,1.00,0.35,2.86,0.35,0.58,1.39,4.42,5.63,16.12,0.06,0.09,0.39
2012,1,0.74,1.80,0.18,0.30,0.40,1.63,0.98,2.45,5.51,14.94,58.85,1.00,0.41,2.43,0.41,0.68,1.86,3.72,3.64,8.84,0.04,0.06,0.21
2011,1,0.50,1.29,0.07,0.15,0.37,1.90,1.19,3.20,14.41,27.36,72.91,1.00,0.27,3.69,0.27,0.43,0.93,8.63,10.30,38.03,0.10,0.16,1.24
2018,0,1.03,1.50,0.79,0.11,0.24,0.13,0.10,0.42,1.27,5.96,35.55,1.00,0.64,1.55,0.64,0.85,4.02,-22.05,-2.23,-3.47,-0.02,-0.03,-0.28
2017,0,1.00,1.35,0.80,0.03,0.31,0.15,0.10,0.33,1.26,17.57,43.76,1.00,0.56,1.78,0.56,0.82,2.42,-35.14,-3.63,-6.46,-0.04,-0.05,-0.44
2016,0,0.44,0.92,-0.14,0.05,0.19,0.08,0.12,0.65,-7.16,12.03,49.01,1.00,0.51,1.96,0.51,0.33,2.50,-37.64,-4.58,-8.98,-0.05,-0.03,2.70
2015,0,1.55,2.42,1.51,0.37,0.33,0.19,0.13,0.39,0.66,2.52,65.70,1.00,0.34,2.92,0.34,0.51,2.51,-45.07,-5.80,-16.92,-0.06,-0.09,-0.30
2014,0,0.93,1.85,1.04,0.07,0.26,0.15,0.11,0.44,0.96,12.52,55.56,1.00,0.44,2.25,0.44,0.60,3.20,-56.06,-6.40,-14.40,-0.06,-0.09,-0.54
2013,0,0.87,1.52,0.82,0.12,0.31,0.19,0.13,0.41,1.22,5.38,80.05,1.00,0.20,5.01,0.20,0.29,0.98,-46.49,-5.97,-29.94,-0.06,-0.09,-0.57
2012,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2011,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
